DATE:, Currency in Circulation,UPI 
04/2016,17201160.0,0
05/2016,17334560.0,0
06/2016,17331080.0,0
07/2016,17239080.0,0.09
08/2016,17324930.0,0.09
09/2016,17278780.0,0.09
10/2016,17775350.0,0.1
11/2016,11884180.0,0.29
12/2016,9383780.0,1.99
01/2017,10169140.0,4.46
02/2017,11644800.0,4.38
03/2017,13130720.0,6.37
04/2017,14321140.0,7.2
05/2017,14880000.0,9.36
06/2017,15316330.0,10.35
07/2017,15411580.0,11.63
08/2017,15654700.0,16.8
09/2017,15887320.0,30.98
10/2017,16347310.0,76.96
11/2017,16600180.0,105.02
12/2017,16932670.0,145.64
01/2018,17385830.0,151.83
02/2018,17822990.0,171.4
03/2018,18300720.0,178.05
04/2018,19036480.0,190.08
05/2018,19307570.0,189.48
06/2018,19431300.0,246.37
07/2018,19224990.0,273.75
08/2018,19387480.0,312.02
09/2018,19252440.0,405.87
10/2018,19612630.0,482.36
11/2018,19958990.0,524.94
12/2018,20250390.0,620.17
01/2019,20617800.0,672.75
02/2019,21074230.0,674.19
03/2019,21396050.0,799.54
04/2019,21799800.0,781.79
05/2019,22045210.0,733.54
06/2019,21894840.0,754.54
07/2019,21755370.0,822.29
08/2019,21763830.0,918.35
09/2019,21861480.0,955.02
10/2019,22571350.0,1148.36
11/2019,22568750.0,1218.77
12/2019,22703440.0,1308.4
01/2020,23072000.0,1305.02
02/2020,23577020.0,1325.69
03/2020,24393080.0,1246.84
04/2020,25229700.0,999.57
05/2020,26165400.0,1234.5
06/2020,26604780.0,1336.93
07/2020,26710830.0,1497.36
08/2020,26805470.0,1618.83
09/2020,26829570.0,1800.14
10/2020,27152660.0,2071.62
11/2020,27707730.0,2210.23
12/2020,27781390.0,2234.16
01/2021,28067920.0,2302.73
02/2021,28366770.0,2292.9
03/2021,28586400.0,2731.68
04/2021,29148570.0,2641.06
05/2021,29630600.0,2539.57
06/2021,29800290.0,2807.51
07/2021,29466490.0,3247.82
08/2021,29439460.0,3555.55
09/2021,29251070.0,3654.3
10/2021,29451300.0,4218.65
11/2021,29832950.0,4186.48
12/2021,29960380.0,4566.3
01/2022,30323680.0,4617.15
02/2022,30805020.0,4527.49
03/2022,31356490.0,5405.65
04/2022,32104810.0,5583.05
05/2022,32194290.0,5955.2
06/2022,32176030.0,5862.75
07/2022,31847150.0,6288.4
08/2022,31832190.0,6579.63
09/2022,31583210.0,6780.8
10/2022,32109470.0,7305.42
11/2022,32178480.0,7309.45
12/2022,32326520.0,7829.49
01/2023,32917820.0,8036.89
02/2023,33316120.0,7534.76
03/2023,33804180.0,8685.3
04/2023,34552820.0,8863.26
05/2023,34421970.0,9415.19
06/2023,33604170.0,9335.06
07/2023,33245630.0,9964.61
08/2023,33100650.0,10586.02
09/2023,32891650.0,10555.69
10/2023,33038210.0,11408.79
11/2023,33554770.0,11235.29
12/2023,33629950.0,12020.23
01/2024,34192070.0,12203.02
02/2024,34564630.0,12102.67
03/2024,35157650.0,13440
04/2024,35665230.0,13303.99
05/2024,35838330.0,14035.84
06/2024,35630020.0,13885.14
07/2024,35371800.0,14435.55
08/2024,34930880.0,14963.05
09/2024,34822140.0,15041.75
10/2024,35347800.0,16584.97
11/2024,35469690.0,15482.02
12/2024,35612020.0,16730.01
01/2025,35999780.0,16996
02/2025,36514280.0,16106.19
03/2025,37204680.0,18301.51
04/2025,37975410.0,17893.42
05/2025,38357980.0,18677.46
06/2025,38212270.0,18395.01
07/2025,38013930.0,19467.95
08/2025,38019360.0,20008.31